	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Endurance 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Endurance 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Endurance 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Endurance 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Endurance 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Endurance 1.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE
	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED
ITEM	X	Y	Z	X	Y	Z
1	48.9	-12.8	458.2	-43.0	7.4	337.6
2	49.4	-12.8	457.6	-43.0	7.5	337.3
3	49.8	-12.8	456.9	-42.9	7.6	337.0
4	50.3	-12.7	456.2	-42.9	7.8	336.7
5	50.8	-12.7	455.5	-42.9	7.9	336.4
6	51.3	-12.6	454.7	-42.9	8.0	336.1
7	51.7	-12.6	454.0	-42.8	8.1	335.8
8	52.2	-12.6	453.2	-42.8	8.2	335.5
9	52.6	-12.5	452.4	-42.8	8.4	335.2
10	53.1	-12.5	451.6	-42.8	8.5	334.9
11	53.5	-12.4	450.8	-42.8	8.6	334.6
12	54.0	-12.4	449.9	-42.8	8.8	334.3
13	54.4	-12.3	449.0	-42.8	8.9	334.0
14	54.9	-12.2	448.1	-42.8	9.0	333.7
15	55.3	-12.2	447.2	-42.8	9.2	333.4
16	55.7	-12.1	446.2	-42.8	9.3	333.1
17	56.1	-12.0	445.3	-42.8	9.4	332.8
18	56.5	-11.9	444.3	-42.8	9.6	332.5
19	56.9	-11.9	443.3	-42.8	9.7	332.2
20	57.3	-11.8	442.3	-42.9	9.9	331.9
21	57.7	-11.7	441.3	-42.9	10.0	331.6
22	58.1	-11.6	440.2	-42.9	10.2	331.2
23	58.5	-11.4	439.1	-42.9	10.3	330.9
24	58.8	-11.3	438.1	-43.0	10.5	330.6
25	59.2	-11.2	437.0	-43.0	10.6	330.3
26	59.5	-11.1	435.9	-43.0	10.8	330.0
27	59.8	-10.9	434.7	-43.1	11.0	329.7
28	60.2	-10.8	433.6	-43.1	11.1	329.4
29	60.5	-10.6	432.5	-43.1	11.3	329.1
30	60.7	-10.5	431.4	-43.2	11.4	328.8
31	61.0	-10.3	430.2	-43.2	11.6	328.5
32	61.2	-10.1	429.1	-43.3	11.7	328.2
33	61.5	-10.0	427.9	-43.3	11.9	327.9
34	61.7	-9.8	426.8	-43.4	12.1	327.6
35	61.9	-9.6	425.6	-43.4	12.2	327.3
36	62.1	-9.4	424.5	-43.5	12.4	327.0
37	62.2	-9.2	423.3	-43.5	12.5	326.8
38	62.4	-8.9	422.2	-43.6	12.7	326.5
39	62.5	-8.7	421.0	-43.6	12.9	326.2
40	62.6	-8.5	419.9	-43.7	13.0	326.0
41	62.7	-8.2	418.8	-43.8	13.2	325.7
42	62.8	-8.0	417.7	-43.8	13.4	325.5
43	62.8	-7.7	416.6	-43.9	13.5	325.2
44	62.9	-7.4	415.5	-44.0	13.7	325.0
45	62.9	-7.2	414.4	-44.0	13.9	324.8
46	62.9	-6.9	413.4	-44.1	14.0	324.6
47	62.8	-6.6	412.3	-44.2	14.2	324.4
48	62.8	-6.3	411.3	-44.3	14.4	324.2
49	62.7	-6.0	410.3	-44.3	14.5	324.0
50	62.6	-5.7	409.3	-44.4	14.7	323.9
51	62.5	-5.3	408.3	-44.5	14.9	323.7
52	62.4	-5.0	407.4	-44.6	15.0	323.6
53	62.2	-4.7	406.5	-44.6	15.2	323.5
54	62.1	-4.3	405.6	-44.7	15.4	323.4
55	61.9	-4.0	404.7	-44.8	15.6	323.3
56	61.7	-3.6	403.8	-44.9	15.7	323.2
57	61.5	-3.3	403.0	-44.9	15.9	323.2
58	61.3	-2.9	402.2	-45.0	16.1	323.1
59	61.0	-2.5	401.4	-45.1	16.2	323.1
60	60.8	-2.1	400.7	-45.2	16.4	323.1
61	60.5	-1.7	400.0	-45.2	16.6	323.1
62	60.2	-1.3	399.3	-45.3	16.7	323.1
63	59.9	-0.9	398.6	-45.4	16.9	323.2
64	59.6	-0.5	398.0	-45.4	17.1	323.2
65	59.3	-0.1	397.4	-45.5	17.3	323.3
66	59.0	0.3	396.9	-45.6	17.4	323.4
67	58.6	0.7	396.3	-45.6	17.6	323.5
68	58.3	1.1	395.8	-45.7	17.8	323.7
69	58.0	1.6	395.4	-45.8	17.9	323.8
70	57.6	2.0	394.9	-45.8	18.1	324.0
71	57.2	2.4	394.5	-45.9	18.3	324.2
72	56.9	2.9	394.2	-45.9	18.4	324.4
73	56.5	3.3	393.8	-46.0	18.6	324.7
74	56.1	3.8	393.5	-46.0	18.8	324.9
75	55.8	4.2	393.2	-46.1	18.9	325.2
76	55.4	4.6	393.0	-46.1	19.1	325.5
77	55.0	5.1	392.8	-46.2	19.3	325.8
78	54.7	5.5	392.6	-46.2	19.4	326.1
79	54.3	6.0	392.5	-46.2	19.6	326.5
80	53.9	6.4	392.4	-46.3	19.7	326.9
81	53.5	6.9	392.3	-46.3	19.9	327.3
82	53.2	7.3	392.2	-46.3	20.0	327.7
83	52.8	7.7	392.2	-46.4	20.2	328.1
84	52.5	8.2	392.2	-46.4	20.3	328.5
85	52.1	8.6	392.2	-46.4	20.5	329.0
86	51.8	9.0	392.3	-46.4	20.6	329.4
87	51.5	9.4	392.4	-46.4	20.8	329.9
88	51.2	9.9	392.5	-46.5	20.9	330.4
89	50.8	10.3	392.7	-46.5	21.1	330.9
90	50.5	10.7	392.8	-46.5	21.2	331.5
91	50.2	11.1	393.0	-46.5	21.4	332.0
92	50.0	11.5	393.3	-46.5	21.5	332.6
93	49.7	11.8	393.5	-46.5	21.6	333.1
94	49.4	12.2	393.8	-46.5	21.7	333.7
95	49.2	12.6	394.1	-46.4	21.9	334.2
96	48.9	12.9	394.4	-46.4	22.0	334.8
97	48.7	13.3	394.7	-46.4	22.1	335.4
98	48.5	13.6	395.1	-46.4	22.2	336.0
99	48.3	13.9	395.4	-46.4	22.3	336.6
100	48.1	14.2	395.8	-46.4	22.4	337.2
101	47.9	14.5	396.2	-46.3	22.5	337.8
102	47.8	14.8	396.6	-46.3	22.6	338.4
103	47.6	15.1	397.1	-46.3	22.7	339.0
104	47.5	15.4	397.5	-46.2	22.8	339.6
105	47.4	15.6	397.9	-46.2	22.9	340.2
106	47.2	15.8	398.4	-46.2	23.0	340.9
107	47.1	16.1	398.9	-46.1	23.0	341.5
108	47.1	16.3	399.3	-46.1	23.1	342.0
109	47.0	16.5	399.8	-46.0	23.2	342.6
110	46.9	16.6	400.3	-46.0	23.2	343.2
111	46.9	16.8	400.8	-46.0	23.3	343.8
112	46.8	16.9	401.3	-45.9	23.3	344.4
113	46.8	17.1	401.8	-45.9	23.4	344.9
114	46.8	17.2	402.3	-45.8	23.4	345.5
115	46.8	17.3	402.8	-45.8	23.4	346.0
116	46.8	17.3	403.3	-45.7	23.5	346.5
117	46.8	17.4	403.8	-45.6	23.5	347.0
118	46.8	17.5	404.3	-45.6	23.5	347.5
119	46.9	17.5	404.8	-45.5	23.5	348.0
120	46.9	17.5	405.3	-45.5	23.5	348.4
121	47.0	17.5	405.8	-45.4	23.5	348.9
122	47.0	17.5	406.2	-45.4	23.5	349.3
123	47.1	17.5	406.7	-45.3	23.5	349.7
124	47.2	17.4	407.2	-45.2	23.5	350.1
125	47.3	17.3	407.6	-45.2	23.5	350.5
126	47.4	17.3	408.0	-45.1	23.4	350.8
127	47.5	17.2	408.5	-45.1	23.4	351.1
128	47.6	17.1	408.9	-45.0	23.3	351.5
129	47.7	17.0	409.3	-44.9	23.3	351.7
130	47.8	16.8	409.7	-44.9	23.3	352.0
131	47.9	16.7	410.0	-44.8	23.2	352.2
132	48.0	16.5	410.4	-44.8	23.1	352.5
133	48.1	16.4	410.7	-44.7	23.1	352.7
134	48.3	16.2	411.0	-44.7	23.0	352.8
135	48.4	16.0	411.3	-44.6	22.9	353.0
136	48.5	15.8	411.6	-44.5	22.8	353.1
137	48.7	15.6	411.9	-44.5	22.7	353.2
138	48.8	15.4	412.2	-44.4	22.6	353.3
139	48.9	15.2	412.4	-44.4	22.5	353.4
140	49.1	15.0	412.6	-44.3	22.4	353.4
141	49.2	14.7	412.8	-44.3	22.3	353.4
142	49.3	14.5	413.0	-44.2	22.2	353.4
143	49.5	14.2	413.1	-44.2	22.1	353.4
144	49.6	14.0	413.3	-44.1	22.0	353.4
145	49.7	13.7	413.4	-44.1	21.8	353.3
146	49.9	13.4	413.5	-44.1	21.7	353.2
147	50.0	13.2	413.6	-44.0	21.6	353.1
148	50.1	12.9	413.7	-44.0	21.4	353.0
149	50.3	12.6	413.7	-44.0	21.3	352.8
150	50.4	12.3	413.8	-43.9	21.1	352.7
151	50.5	12.0	413.8	-43.9	21.0	352.5
152	50.6	11.7	413.8	-43.9	20.8	352.3
153	50.7	11.5	413.8	-43.9	20.6	352.1
154	50.9	11.2	413.7	-43.8	20.5	351.8
155	51.0	10.9	413.7	-43.8	20.3	351.6
156	51.1	10.6	413.6	-43.8	20.1	351.3
157	51.2	10.3	413.5	-43.8	20.0	351.1
158	51.3	10.0	413.4	-43.8	19.8	350.8
159	51.4	9.7	413.3	-43.8	19.6	350.5
160	51.5	9.4	413.2	-43.8	19.4	350.2
161	51.5	9.1	413.1	-43.8	19.2	349.9
162	51.6	8.8	412.9	-43.8	19.0	349.6
163	51.7	8.6	412.8	-43.8	18.8	349.2
164	51.8	8.3	412.6	-43.8	18.6	348.9
165	51.9	8.0	412.4	-43.9	18.4	348.5
166	51.9	7.7	412.2	-43.9	18.2	348.2
167	52.0	7.4	412.1	-43.9	18.0	347.8
168	52.1	7.2	411.9	-43.9	17.8	347.5
169	52.1	6.9	411.7	-44.0	17.6	347.1
170	52.2	6.6	411.4	-44.0	17.4	346.8
171	52.2	6.4	411.2	-44.0	17.2	346.4
172	52.3	6.1	411.0	-44.1	16.9	346.0
173	52.3	5.9	410.8	-44.1	16.7	345.7
174	52.3	5.6	410.5	-44.2	16.5	345.3
175	52.4	5.4	410.3	-44.2	16.3	344.9
176	52.4	5.1	410.1	-44.3	16.1	344.6
177	52.5	4.9	409.9	-44.3	15.9	344.2
178	52.5	4.7	409.6	-44.4	15.7	343.8
179	52.5	4.4	409.4	-44.4	15.5	343.5
180	52.5	4.2	409.2	-44.5	15.2	343.1
181	52.6	4.0	408.9	-44.5	15.0	342.8
182	52.6	3.8	408.7	-44.6	14.8	342.4
183	52.6	3.6	408.5	-44.7	14.6	342.1
184	52.6	3.4	408.2	-44.7	14.4	341.8
185	52.7	3.2	408.0	-44.8	14.2	341.4
186	52.7	3.0	407.8	-44.9	14.0	341.1
187	52.7	2.8	407.6	-45.0	13.8	340.8
188	52.7	2.6	407.4	-45.0	13.6	340.5
189	52.7	2.4	407.2	-45.1	13.4	340.2
190	52.7	2.2	407.0	-45.2	13.2	339.9
191	52.8	2.0	406.8	-45.3	13.0	339.6
192	52.8	1.9	406.6	-45.3	12.8	339.4
193	52.8	1.7	406.5	-45.4	12.7	339.1
194	52.8	1.5	406.3	-45.5	12.5	338.9
195	52.8	1.4	406.1	-45.6	12.3	338.6
196	52.8	1.2	406.0	-45.7	12.1	338.4
197	52.9	1.1	405.8	-45.7	12.0	338.1
198	52.9	0.9	405.7	-45.8	11.8	337.9
199	52.9	0.8	405.6	-45.9	11.6	337.7
200	52.9	0.6	405.5	-46.0	11.5	337.5
201	52.9	0.5	405.4	-46.0	11.3	337.4
202	53.0	0.4	405.3	-46.1	11.2	337.2
203	53.0	0.2	405.2	-46.2	11.0	337.0
204	53.0	0.1	405.1	-46.3	10.9	336.9
205	53.0	-0.0	405.0	-46.3	10.7	336.7
206	53.1	-0.2	405.0	-46.4	10.6	336.6
207	53.1	-0.3	404.9	-46.5	10.5	336.5
208	53.1	-0.4	404.9	-46.5	10.3	336.4
209	53.2	-0.5	404.8	-46.6	10.2	336.3
210	53.2	-0.6	404.8	-46.7	10.1	336.2
211	53.2	-0.8	404.8	-46.7	10.0	336.2
212	53.3	-0.9	404.8	-46.8	9.9	336.1
213	53.3	-1.0	404.7	-46.8	9.8	336.1
214	53.3	-1.1	404.7	-46.9	9.6	336.0
215	53.4	-1.2	404.8	-46.9	9.6	336.0
216	53.4	-1.3	404.8	-47.0	9.5	336.0
217	53.5	-1.4	404.8	-47.1	9.4	336.0
218	53.5	-1.5	404.8	-47.1	9.3	336.0
219	53.5	-1.6	404.8	-47.1	9.2	336.0
220	53.6	-1.7	404.9	-47.2	9.1	336.1
221	53.6	-1.8	404.9	-47.2	9.0	336.1
222	53.7	-1.9	405.0	-47.3	9.0	336.2
223	53.7	-2.0	405.0	-47.3	8.9	336.2
224	53.8	-2.1	405.1	-47.3	8.8	336.3
225	53.8	-2.2	405.1	-47.4	8.8	336.4
226	53.9	-2.3	405.2	-47.4	8.7	336.5
227	53.9	-2.4	405.2	-47.4	8.7	336.6
228	54.0	-2.5	405.3	-47.5	8.6	336.7
229	54.0	-2.6	405.3	-47.5	8.6	336.9
230	54.0	-2.7	405.4	-47.5	8.5	337.0
231	54.1	-2.8	405.5	-47.5	8.5	337.1
232	54.1	-2.9	405.5	-47.6	8.5	337.3
233	54.2	-3.0	405.6	-47.6	8.4	337.5
234	54.2	-3.1	405.7	-47.6	8.4	337.6
235	54.3	-3.2	405.7	-47.6	8.3	337.8
236	54.3	-3.3	405.8	-47.6	8.3	338.0
237	54.4	-3.3	405.8	-47.6	8.3	338.2
238	54.4	-3.4	405.9	-47.6	8.3	338.4
239	54.4	-3.5	406.0	-47.6	8.2	338.6
240	54.5	-3.6	406.0	-47.6	8.2	338.8
241	54.5	-3.7	406.1	-47.7	8.2	339.0
242	54.5	-3.8	406.1	-47.7	8.1	339.3
243	54.6	-3.8	406.2	-47.7	8.1	339.5
244	54.6	-3.9	406.2	-47.7	8.1	339.7
245	54.6	-4.0	406.2	-47.7	8.1	340.0
246	54.7	-4.1	406.3	-47.7	8.1	340.2
247	54.7	-4.2	406.3	-47.6	8.0	340.5
248	54.7	-4.2	406.3	-47.6	8.0	340.7
249	54.7	-4.3	406.3	-47.6	8.0	341.0
250	54.8	-4.4	406.4	-47.6	7.9	341.2
251	54.8	-4.5	406.4	-47.6	7.9	341.5
252	54.8	-4.5	406.4	-47.6	7.9	341.8
253	54.8	-4.6	406.4	-47.6	7.9	342.0
254	54.8	-4.7	406.4	-47.6	7.8	342.3
255	54.9	-4.7	406.3	-47.6	7.8	342.6
256	54.9	-4.8	406.3	-47.6	7.8	342.8
257	54.9	-4.8	406.3	-47.5	7.7	343.1
258	54.9	-4.9	406.3	-47.5	7.7	343.4
259	54.9	-5.0	406.2	-47.5	7.6	343.7
260	54.9	-5.0	406.2	-47.5	7.6	343.9
261	54.9	-5.1	406.1	-47.5	7.5	344.2
262	54.9	-5.1	406.1	-47.4	7.5	344.5
263	54.9	-5.2	406.0	-47.4	7.4	344.8
264	54.9	-5.2	406.0	-47.4	7.4	345.0
265	54.9	-5.3	405.9	-47.4	7.3	345.3
266	54.9	-5.3	405.8	-47.4	7.3	345.6
267	54.9	-5.3	405.7	-47.3	7.2	345.9
268	54.8	-5.4	405.6	-47.3	7.1	346.1
269	54.8	-5.4	405.6	-47.3	7.1	346.4
270	54.8	-5.4	405.5	-47.3	7.0	346.7
271	54.8	-5.5	405.3	-47.2	6.9	346.9
272	54.8	-5.5	405.2	-47.2	6.8	347.2
273	54.8	-5.5	405.1	-47.2	6.8	347.4
274	54.7	-5.5	405.0	-47.2	6.7	347.7
275	54.7	-5.6	404.9	-47.1	6.6	348.0
276	54.7	-5.6	404.7	-47.1	6.5	348.2
277	54.7	-5.6	404.6	-47.1	6.4	348.5
278	54.6	-5.6	404.4	-47.1	6.3	348.7
279	54.6	-5.6	404.3	-47.0	6.2	348.9
280	54.6	-5.6	404.1	-47.0	6.2	349.2
281	54.5	-5.6	404.0	-47.0	6.1	349.4
282	54.5	-5.6	403.8	-46.9	6.0	349.6
283	54.5	-5.6	403.7	-46.9	5.9	349.9
284	54.4	-5.6	403.5	-46.9	5.8	350.1
285	54.4	-5.6	403.3	-46.9	5.7	350.3
286	54.4	-5.6	403.1	-46.9	5.6	350.5
287	54.3	-5.6	402.9	-46.8	5.4	350.7
288	54.3	-5.6	402.7	-46.8	5.3	350.9
289	54.3	-5.6	402.6	-46.8	5.2	351.2
290	54.2	-5.6	402.4	-46.8	5.1	351.4
291	54.2	-5.5	402.2	-46.8	5.0	351.6
292	54.2	-5.5	401.9	-46.7	4.9	351.7
293	54.1	-5.5	401.7	-46.7	4.8	351.9
294	54.1	-5.5	401.5	-46.7	4.7	352.1
295	54.0	-5.4	401.3	-46.7	4.6	352.3
296	54.0	-5.4	401.1	-46.7	4.5	352.5
297	54.0	-5.4	400.9	-46.7	4.4	352.7
298	53.9	-5.4	400.6	-46.7	4.3	352.8
299	53.9	-5.3	400.4	-46.7	4.2	353.0
300	53.8	-5.3	400.2	-46.7	4.1	353.2
301	53.8	-5.2	400.0	-46.7	4.0	353.4
302	53.8	-5.2	399.7	-46.7	3.9	353.5
303	53.7	-5.2	399.5	-46.7	3.8	353.7
304	53.7	-5.1	399.2	-46.7	3.7	353.8
305	53.6	-5.1	399.0	-46.7	3.6	354.0
306	53.6	-5.0	398.7	-46.7	3.5	354.2
307	53.5	-5.0	398.5	-46.7	3.4	354.3
308	53.5	-4.9	398.2	-46.7	3.3	354.5
309	53.5	-4.9	397.9	-46.7	3.2	354.6
310	53.4	-4.9	397.6	-46.7	3.1	354.8
311	53.4	-4.8	397.4	-46.8	3.0	355.0
312	53.3	-4.7	397.1	-46.8	3.0	355.1
313	53.3	-4.7	396.8	-46.8	2.9	355.3
314	53.2	-4.6	396.5	-46.8	2.8	355.4
315	53.2	-4.6	396.2	-46.9	2.7	355.6
316	53.2	-4.5	395.9	-46.9	2.7	355.8
317	53.1	-4.5	395.5	-46.9	2.6	355.9
318	53.1	-4.4	395.2	-47.0	2.5	356.1
319	53.0	-4.3	394.9	-47.0	2.5	356.2
320	53.0	-4.3	394.5	-47.1	2.4	356.4
321	52.9	-4.2	394.2	-47.1	2.4	356.5
322	52.9	-4.1	393.8	-47.2	2.3	356.7
323	52.8	-4.1	393.4	-47.2	2.3	356.9
324	52.8	-4.0	393.0	-47.3	2.2	357.0
325	52.7	-3.9	392.6	-47.3	2.2	357.2
326	52.7	-3.9	392.2	-47.4	2.1	357.3
327	52.6	-3.8	391.8	-47.5	2.1	357.5
328	52.6	-3.7	391.3	-47.5	2.1	357.7
329	52.5	-3.6	390.9	-47.6	2.1	357.8
330	52.4	-3.5	390.4	-47.6	2.1	358.0
331	52.4	-3.5	389.9	-47.7	2.0	358.2
332	52.3	-3.4	389.4	-47.8	2.0	358.3
333	52.2	-3.3	388.9	-47.9	2.0	358.5
334	52.2	-3.2	388.3	-47.9	2.0	358.6
335	52.1	-3.1	387.8	-48.0	2.0	358.8
336	52.0	-3.0	387.2	-48.1	2.0	358.9
337	51.9	-2.9	386.6	-48.1	2.1	359.1
338	51.9	-2.8	386.0	-48.2	2.1	359.2
339	51.8	-2.7	385.3	-48.3	2.1	359.4
340	51.7	-2.6	384.6	-48.4	2.1	359.5
341	51.6	-2.5	383.9	-48.5	2.2	359.7
342	51.5	-2.4	383.2	-48.5	2.2	359.8
343	51.4	-2.3	382.5	-48.6	2.2	360.0
344	51.3	-2.2	381.7	-48.7	2.3	360.1
345	51.2	-2.1	380.9	-48.8	2.3	360.2
346	51.1	-2.0	380.0	-48.9	2.4	360.3
347	50.9	-1.9	379.1	-48.9	2.4	360.4
348	50.8	-1.8	378.2	-49.0	2.5	360.5
349	50.7	-1.7	377.3	-49.1	2.6	360.6
350	50.6	-1.5	376.3	-49.2	2.6	360.7
351	50.4	-1.4	375.3	-49.3	2.7	360.8
352	50.3	-1.3	374.2	-49.4	2.8	360.9
353	50.1	-1.2	373.1	-49.4	2.9	360.9
354	50.0	-1.1	372.0	-49.5	3.0	361.0
355	49.8	-0.9	370.8	-49.6	3.1	361.0
356	49.6	-0.8	369.6	-49.7	3.2	361.0
357	49.5	-0.7	368.3	-49.8	3.3	361.0
358	49.3	-0.6	367.0	-49.8	3.4	361.0
359	49.1	-0.5	365.7	-49.9	3.5	361.0
360	48.9	-0.3	364.3	-50.0	3.6	360.9
361	48.7	-0.2	362.9	-50.1	3.7	360.8
362	48.5	-0.1	361.4	-50.1	3.8	360.7
363	48.3	0.0	359.8	-50.2	4.0	360.6
364	48.0	0.2	358.2	-50.3	4.1	360.4
365	47.8	0.3	356.6	-50.3	4.2	360.3
366	47.5	0.4	354.9	-50.4	4.4	360.0
367	47.3	0.5	353.1	-50.5	4.5	359.8
368	47.0	0.6	351.3	-50.5	4.6	359.5
369	46.8	0.8	349.5	-50.6	4.8	359.2
370	46.5	0.9	347.6	-50.6	4.9	358.9
371	46.2	1.0	345.6	-50.7	5.1	358.5
372	45.9	1.1	343.6	-50.7	5.2	358.1
373	45.6	1.2	341.5	-50.8	5.4	357.6
374	45.3	1.3	339.3	-50.8	5.5	357.1
375	45.0	1.4	337.2	-50.9	5.7	356.5
376	44.7	1.5	334.9	-50.9	5.9	355.9
377	44.3	1.6	332.6	-50.9	6.0	355.3
378	44.0	1.7	330.2	-50.9	6.2	354.6
379	43.7	1.8	327.8	-51.0	6.4	353.8
380	43.3	1.9	325.3	-51.0	6.5	353.0
381	42.9	2.0	322.8	-51.0	6.7	352.1
382	42.6	2.1	320.2	-51.0	6.9	351.2
383	42.2	2.1	317.6	-51.0	7.0	350.2
384	41.8	2.2	314.9	-51.0	7.2	349.2
385	41.4	2.3	312.1	-51.0	7.4	348.0
386	41.0	2.4	309.3	-50.9	7.5	346.9
387	40.6	2.4	306.4	-50.9	7.7	345.6
388	40.2	2.5	303.5	-50.9	7.9	344.3
389	39.8	2.5	300.5	-50.8	8.0	342.9
390	39.3	2.5	297.5	-50.8	8.2	341.5
391	38.9	2.6	294.4	-50.7	8.3	339.9
392	38.5	2.6	291.3	-50.7	8.5	338.3
393	38.0	2.6	288.1	-50.6	8.7	336.6
394	37.6	2.6	284.9	-50.5	8.8	334.9
395	37.1	2.6	281.6	-50.4	9.0	333.1
396	36.6	2.6	278.3	-50.3	9.1	331.2
397	36.2	2.6	275.0	-50.2	9.2	329.2
398	35.7	2.6	271.6	-50.1	9.4	327.1
399	35.2	2.6	268.1	-49.9	9.5	325.0
400	34.7	2.6	264.7	-49.8	9.6	322.8
401	34.3	2.5	261.1	-49.6	9.7	320.5
402	33.8	2.5	257.6	-49.5	9.8	318.2
403	33.3	2.4	254.0	-49.3	10.0	315.7
404	32.8	2.4	250.4	-49.1	10.0	313.2
405	32.3	2.3	246.7	-48.9	10.1	310.7
406	31.8	2.2	243.0	-48.7	10.2	308.0
407	31.3	2.1	239.3	-48.5	10.3	305.3
408	30.9	2.0	235.6	-48.3	10.4	302.5
409	30.4	1.9	231.9	-48.0	10.4	299.7
410	29.9	1.8	228.1	-47.8	10.5	296.7
411	29.4	1.7	224.3	-47.5	10.5	293.8
412	28.9	1.5	220.5	-47.3	10.5	290.7
413	28.4	1.4	216.6	-47.0	10.6	287.6
414	27.9	1.2	212.8	-46.7	10.6	284.5
415	27.4	1.1	209.0	-46.4	10.6	281.2
416	27.0	0.9	205.1	-46.1	10.6	278.0
417	26.5	0.7	201.2	-45.8	10.5	274.6
418	26.0	0.5	197.4	-45.5	10.5	271.3
419	25.5	0.4	193.5	-45.1	10.5	267.9
420	25.1	0.2	189.7	-44.8	10.4	264.4
421	24.6	-0.0	185.8	-44.5	10.3	260.9
422	24.2	-0.3	181.9	-44.1	10.3	257.4
423	23.7	-0.5	178.1	-43.8	10.2	253.8
424	23.3	-0.7	174.3	-43.4	10.1	250.3
425	22.8	-0.9	170.4	-43.0	10.0	246.6
426	22.4	-1.2	166.6	-42.7	9.9	243.0
427	22.0	-1.4	162.9	-42.3	9.7	239.3
428	21.5	-1.7	159.1	-41.9	9.6	235.7
429	21.1	-1.9	155.4	-41.5	9.4	232.0
430	20.7	-2.2	151.6	-41.1	9.3	228.3
431	20.3	-2.4	148.0	-40.7	9.1	224.5
432	19.9	-2.7	144.3	-40.3	8.9	220.8
433	19.5	-3.0	140.7	-39.9	8.7	217.1
434	19.1	-3.2	137.1	-39.5	8.5	213.4
435	18.7	-3.5	133.6	-39.1	8.2	209.6
436	18.4	-3.8	130.0	-38.7	8.0	205.9
437	18.0	-4.0	126.6	-38.3	7.8	202.2
438	17.6	-4.3	123.2	-37.9	7.5	198.5
439	17.3	-4.6	119.8	-37.5	7.2	194.8
440	16.9	-4.9	116.4	-37.0	7.0	191.1
441	16.6	-5.1	113.1	-36.6	6.7	187.5
442	16.3	-5.4	109.9	-36.2	6.4	183.9
443	15.9	-5.6	106.7	-35.8	6.1	180.2
444	15.6	-5.9	103.6	-35.4	5.8	176.7
445	15.3	-6.2	100.5	-35.0	5.5	173.1
446	15.0	-6.4	97.5	-34.6	5.1	169.6
447	14.7	-6.7	94.5	-34.2	4.8	166.1
448	14.4	-6.9	91.5	-33.8	4.4	162.6
449	14.1	-7.1	88.7	-33.4	4.1	159.2
450	13.8	-7.4	85.9	-33.0	3.7	155.9
451	13.5	-7.6	83.1	-32.6	3.4	152.5
452	13.3	-7.8	80.4	-32.2	3.0	149.2
453	13.0	-8.0	77.8	-31.8	2.6	146.0
454	12.7	-8.2	75.2	-31.5	2.2	142.8
455	12.5	-8.4	72.7	-31.1	1.8	139.6
456	12.2	-8.5	70.2	-30.7	1.5	136.5
457	12.0	-8.7	67.8	-30.3	1.1	133.5
458	11.7	-8.9	65.5	-30.0	0.7	130.5
459	11.5	-9.0	63.2	-29.6	0.3	127.5
460	11.2	-9.2	60.9	-29.3	-0.1	124.6
461	11.0	-9.3	58.8	-28.9	-0.5	121.8
462	10.7	-9.4	56.6	-28.6	-0.9	119.0
463	10.5	-9.5	54.6	-28.2	-1.3	116.3
464	10.3	-9.6	52.6	-27.9	-1.7	113.7
465	10.0	-9.7	50.6	-27.6	-2.1	111.1
466	9.8	-9.8	48.7	-27.3	-2.5	108.5
467	9.6	-9.8	46.8	-26.9	-2.9	106.0
468	9.3	-9.9	45.0	-26.6	-3.3	103.6
469	9.1	-9.9	43.3	-26.3	-3.7	101.3
470	8.9	-10.0	41.6	-26.0	-4.1	99.0
471	8.7	-10.0	39.9	-25.8	-4.4	96.8
472	8.5	-10.0	38.3	-25.5	-4.8	94.6
473	8.2	-10.0	36.7	-25.2	-5.2	92.5
474	8.0	-10.0	35.2	-24.9	-5.5	90.5
475	7.8	-10.0	33.7	-24.7	-5.9	88.5
476	7.6	-9.9	32.3	-24.4	-6.2	86.6
477	7.4	-9.9	30.9	-24.2	-6.6	84.7
478	7.2	-9.8	29.6	-24.0	-6.9	82.9
479	7.0	-9.8	28.3	-23.8	-7.2	81.2
480	6.8	-9.7	27.0	-23.5	-7.5	79.6
481	6.6	-9.6	25.8	-23.3	-7.8	78.0
482	6.4	-9.6	24.6	-23.1	-8.1	76.4
483	6.2	-9.5	23.4	-22.9	-8.4	74.9
484	6.0	-9.4	22.3	-22.8	-8.7	73.5
485	5.8	-9.3	21.3	-22.6	-9.0	72.2
486	5.7	-9.1	20.2	-22.4	-9.2	70.9
487	5.5	-9.0	19.2	-22.2	-9.5	69.7
488	5.3	-8.9	18.3	-22.1	-9.7	68.5
489	5.2	-8.7	17.4	-22.0	-9.9	67.4
490	5.0	-8.6	16.5	-21.8	-10.1	66.3
491	4.9	-8.5	15.7	-21.7	-10.3	65.3
492	4.7	-8.3	14.9	-21.6	-10.5	64.4
